book_id,title,subtitle,authors,publisher,published_date,description,page_count,categories,average_rating,ratings_count,language,preview_link,info_link,isbn_13,isbn_10,list_price,currency,buyable,search_category,thumbnail
_4zcAAAAIAAJ,Terminal Identity,The Virtual Subject in Postmodern Science Fiction,Scott Bukatman,Durham : Duke University Press,1993,"Scott Bukatman's Terminal Identity--referring to both the site of the termination of the conventional ""subject"" and the birth of a new subjectivity constructed at the computer terminal or television screen--puts to rest any lingering doubts of the significance of science fiction in contemporary cultural studies. Demonstrating a comprehensive knowledge, both of the history of science fiction narrative from its earliest origins, and of cultural theory and philosophy, Bukatman redefines the nature of human identity in the Information Age. Drawing on a wide range of contemporary theories of the postmodern--including Fredric Jameson, Donna Haraway, and Jean Baudrillard--Bukatman begins with the proposition that Western culture is suffering a crisis brought on by advanced electronic technologies. Then in a series of chapters richly supported by analyses of literary texts, visual arts, film, video, television, comics, computer games, and graphics, Bukatman takes the reader on an odyssey that traces the postmodern subject from its current crisis, through its close encounters with technology, and finally to new self-recognition. This new ""virtual subject,"" as Bukatman defines it, situates the human and the technological as coexistent, codependent, and mutally defining. Synthesizing the most provocative theories of postmodern culture with a truly encyclopedic treatment of the relevant media, this volume sets a new standard in the study of science fiction--a category that itself may be redefined in light of this work. Bukatman not only offers the most detailed map to date of the intellectual terrain of postmodern technology studies--he arrives at new frontiers, providing a propitious launching point for further inquiries into the relationship of electronic technology and culture.",566.0,Computers,,0,en,http://books.google.com/books?id=_4zcAAAAIAAJ&q=science+fiction&dq=science+fiction&hl=&cd=206&source=gbs_api,http://books.google.com/books?id=_4zcAAAAIAAJ&dq=science+fiction&hl=&source=gbs_api,,,,,False,science fiction,http://books.google.com/books/content?id=_4zcAAAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
g-9CAQAAIAAJ,IPCC 93 Proceedings,"The New Face of Technical Communication, People, Processes, Products : October 5-8, 1993, Philadelphia, Pennsylvania",IEEE Professional Communication Society,Institute of Electrical & Electronics Engineers(IEEE),1993,,460.0,Technology & Engineering,,0,en,http://books.google.com/books?id=g-9CAQAAIAAJ&q=science+fiction&dq=science+fiction&hl=&cd=291&source=gbs_api,http://books.google.com/books?id=g-9CAQAAIAAJ&dq=science+fiction&hl=&source=gbs_api,,,,,False,science fiction,http://books.google.com/books/content?id=g-9CAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
hT3WJLGF06sC,Game Invaders,The Theory and Understanding of Computer Games,"Clive Fencott, Jo Clay, Mike Lockyer, Paul Massey",John Wiley & Sons,2012-07-10,"Presenting a holistic and thoroughly practical investigation of the true nature of computer games that arms readers with a small yet powerful set of theories for developing unique approaches to understanding games. Game Invaders fully integrates genre theory, new media aesthetics, perceptual opportunities, and semiotics into a practical DIY toolkit for games analysis—offering detailed guidance for how to conduct in-depth critiques of game content and gameplay. Featuring an informal and witty writing style, the book devotes a number of chapters to specific games from all eras, clearly demonstrating the practical application of the theories to modern, large-scale computer games. Readers will find: • Suggestions on how to apply the DIY package to major issues central to understanding computer games and their design • Coverage of the semiotics of video games, laying the foundation for such topics as the role of agency and virtual storytelling • Tasks and solutions for readers wishing to practice techniques introduced in the book • A companion website featuring access to an app that enables the reader to conduct their own activity profiling of games An important resource for those wishing to dig deeper into the games they design, Game Invaders gives game designers the skills they need to stand out from the crowd. It is also a valuable guide for anyone wishing to learn more about computer games, virtual reality, and new media.",261.0,Computers,,0,en,http://books.google.com/books?id=hT3WJLGF06sC&pg=PA18&dq=mystery+thriller&hl=&cd=16&source=gbs_api,http://books.google.com/books?id=hT3WJLGF06sC&dq=mystery+thriller&hl=&source=gbs_api,9780470597187.0,0470597186,,,False,mystery thriller,http://books.google.com/books/content?id=hT3WJLGF06sC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
2RZi42MSunkC,1999 Writer's Market,The Electronic Edition,"Mark Garvey, Holm",Writer's Digest Books,1998-09,Does everything but stamp your self-addressed envelopes.--St. Paul PioneerPress. IBM-compatible CD-ROM.,1128.0,Computers,,0,en,http://books.google.com/books?id=2RZi42MSunkC&pg=PA203&dq=mystery+thriller&hl=&cd=170&source=gbs_api,http://books.google.com/books?id=2RZi42MSunkC&dq=mystery+thriller&hl=&source=gbs_api,9780898798555.0,0898798558,,,False,mystery thriller,http://books.google.com/books/content?id=2RZi42MSunkC&printsec=frontcover&img=1&zoom=1&source=gbs_api
0gElAQAAIAAJ,"Proceedings of the Fourth Workshop on Future Trends of Distributed Computing Systems, September 22-24, 1993, Lisbon, Portugal",,,Institute of Electrical & Electronics Engineers(IEEE),1993,"Proceedings of the 4th Workshop on [title], held in Lisbon, Portugal in September 1993. Sessions are devoted to multimedia experiments, system management, multimedia protocols, future systems, groups and cooperative work, fault tolerance, design of distributed applications, object-oriented systems, network performance, software design and testing, real-time systems, algorithms and protocols, distributed network processing, specification, future networks, and operating systems issues. No index. Annotation copyright by Book News, Inc., Portland, OR.",500.0,Computers,,0,en,http://books.google.com/books?id=0gElAQAAIAAJ&q=romance&dq=romance&hl=&cd=85&source=gbs_api,http://books.google.com/books?id=0gElAQAAIAAJ&dq=romance&hl=&source=gbs_api,,,,,False,romance,http://books.google.com/books/content?id=0gElAQAAIAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api
cgSKCgAAQBAJ,Apache Spark Graph Processing,,Rindra Ramamonjison,Packt Publishing Ltd,2015-09-10,"Build, process and analyze large-scale graph data effectively with Spark About This Book Find solutions for every stage of data processing from loading and transforming graph data to Improve the scalability of your graphs with a variety of real-world applications with complete Scala code. A concise guide to processing large-scale networks with Apache Spark. Who This Book Is For This book is for data scientists and big data developers who want to learn the processing and analyzing graph datasets at scale. Basic programming experience with Scala is assumed. Basic knowledge of Spark is assumed. What You Will Learn Write, build and deploy Spark applications with the Scala Build Tool. Build and analyze large-scale network datasets Analyze and transform graphs using RDD and graph-specific operations Implement new custom graph operations tailored to specific needs. Develop iterative and efficient graph algorithms using message aggregation and Pregel abstraction Extract subgraphs and use it to discover common clusters Analyze graph data and solve various data science problems using real-world datasets. In Detail Apache Spark is the next standard of open-source cluster-computing engine for processing big data. Many practical computing problems concern large graphs, like the Web graph and various social networks. The scale of these graphs - in some cases billions of vertices, trillions of edges - poses challenges to their efficient processing. Apache Spark GraphX API combines the advantages of both data-parallel and graph-parallel systems by efficiently expressing graph computation within the Spark data-parallel framework. This book will teach the user to do graphical programming in Apache Spark, apart from an explanation of the entire process of graphical data analysis. You will journey through the creation of graphs, its uses, its exploration and analysis and finally will also cover the conversion of graph elements into graph structures. This book begins with an introduction of the Spark system, its libraries and the Scala Build Tool. Using a hands-on approach, this book will quickly teach you how to install and leverage Spark interactively on the command line and in a standalone Scala program. Then, it presents all the methods for building Spark graphs using illustrative network datasets. Next, it will walk you through the process of exploring, visualizing and analyzing different network characteristics. This book will also teach you how to transform raw datasets into a usable form. In addition, you will learn powerful operations that can be used to transform graph elements and graph structures. Furthermore, this book also teaches how to create custom graph operations that are tailored for specific needs with efficiency in mind. The later chapters of this book cover more advanced topics such as clustering graphs, implementing graph-parallel iterative algorithms and learning methods from graph data. Style and approach A step-by-step guide that will walk you through the key ideas and techniques for processing big graph data at scale, with practical examples that will ensure an overall understanding of the concepts of Spark.",148.0,Computers,,0,en,http://books.google.com/books?id=cgSKCgAAQBAJ&pg=PA66&dq=biography&hl=&cd=83&source=gbs_api,https://play.google.com/store/books/details?id=cgSKCgAAQBAJ&source=gbs_api,9781784398958.0,1784398950,29.99,USD,True,biography,http://books.google.com/books/content?id=cgSKCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
DF1uDQAAQBAJ,Technologies of Consumer Labor,A History of Self-Service,Michael Palm,Routledge,2016-11-03,"This book documents and examines the history of technology used by consumers to serve oneself. The telephone’s development as a self-service technology functions as the narrative spine, beginning with the advent of rotary dialing eliminating most operator services and transforming every local connection into an instance of self-service. Today, nearly a century later, consumers manipulate 0-9 keypads on a plethora of digital machines. Throughout the book Palm employs a combination of historical, political-economic and cultural analysis to describe how the telephone keypad was absorbed into business models across media, retail and financial industries, as the interface on everyday machines including the ATM, cell phone and debit card reader. He argues that the naturalization of self-service telephony shaped consumers’ attitudes and expectations about digital technology.",280.0,Technology & Engineering,,0,en,http://books.google.com/books?id=DF1uDQAAQBAJ&printsec=frontcover&dq=history&hl=&cd=284&source=gbs_api,https://play.google.com/store/books/details?id=DF1uDQAAQBAJ&source=gbs_api,9781317287193.0,1317287193,66.99,USD,True,history,http://books.google.com/books/content?id=DF1uDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
KwWXAgAAQBAJ,Implementing the Poznan Strategic Program on Technology Transfer,,Global Environment Facility,Global Environment Facility,2010-11-02,,32.0,Nature,,0,en,http://books.google.com/books?id=KwWXAgAAQBAJ&pg=PA9&dq=technology+programming&hl=&cd=1&source=gbs_api,http://books.google.com/books?id=KwWXAgAAQBAJ&dq=technology+programming&hl=&source=gbs_api,9781884122675.0,1884122671,,,False,technology programming,http://books.google.com/books/content?id=KwWXAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
hYlCEAAAQBAJ,30-Second Coding,"The 50 Essential Principles that Instruct Technology, Each Explained in Half a Minute",Mark Steadman,,2021-11-23,"Decrypt the science behind coding, the language of computer programming, and understand how it can shape every aspect of modern technology.",162.0,Computers,,0,en,http://books.google.com/books?id=hYlCEAAAQBAJ&printsec=frontcover&dq=technology+programming&hl=&cd=2&source=gbs_api,http://books.google.com/books?id=hYlCEAAAQBAJ&dq=technology+programming&hl=&source=gbs_api,9780711263642.0,0711263647,,,False,technology programming,http://books.google.com/books/content?id=hYlCEAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
Z9aNTafcb3IC,Secure Coding in C and C++,,Robert C. Seacord,Addison-Wesley,2013-03-23,"Learn the Root Causes of Software Vulnerabilities and How to Avoid Them Commonly exploited software vulnerabilities are usually caused by avoidable software defects. Having analyzed tens of thousands of vulnerability reports since 1988, CERT has determined that a relatively small number of root causes account for most of the vulnerabilities. Secure Coding in C and C++, Second Edition, identifies and explains these root causes and shows the steps that can be taken to prevent exploitation. Moreover, this book encourages programmers to adopt security best practices and to develop a security mindset that can help protect software from tomorrow’s attacks, not just today’s. Drawing on the CERT’s reports and conclusions, Robert C. Seacord systematically identifies the program errors most likely to lead to security breaches, shows how they can be exploited, reviews the potential consequences, and presents secure alternatives. Coverage includes technical detail on how to Improve the overall security of any C or C++ application Thwart buffer overflows, stack-smashing, and return-oriented programming attacks that exploit insecure string manipulation logic Avoid vulnerabilities and security flaws resulting from the incorrect use of dynamic memory management functions Eliminate integer-related problems resulting from signed integer overflows, unsigned integer wrapping, and truncation errors Perform secure I/O, avoiding file system vulnerabilities Correctly use formatted output functions without introducing format-string vulnerabilities Avoid race conditions and other exploitable vulnerabilities while developing concurrent code The second edition features Updates for C11 and C++11 Significant revisions to chapters on strings, dynamic memory management, and integer security A new chapter on concurrency Access to the online secure coding course offered through Carnegie Mellon’s Open Learning Initiative (OLI) Secure Coding in C and C++, Second Edition, presents hundreds of examples of secure code, insecure code, and exploits, implemented for Windows and Linux. If you’re responsible for creating secure C or C++ software–or for keeping it safe–no other book offers you this much detailed, expert assistance.",1040.0,Computers,4.0,1,en,http://books.google.com/books?id=Z9aNTafcb3IC&pg=PT658&dq=technology+programming&hl=&cd=3&source=gbs_api,https://play.google.com/store/books/details?id=Z9aNTafcb3IC&source=gbs_api,9780132981972.0,0132981971,61.99,USD,True,technology programming,http://books.google.com/books/content?id=Z9aNTafcb3IC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api
