title,author,publisher,year,pages,rating,ratings_count,description,image,download_link,file_info,price,currency,preview_link,info_link,source,platform,category,contents,toc_source
Advanced Optical and Wireless Communications Systems,Ivan B. Djordjevic (auth.),Springer International Publishing,2018,952,3.6,377,"
This textbook introduces the advanced topics of: (i) wireless communications, (ii) free-space optical (FSO) communications, (iii) indoor optical wireless (IR) communications, and (iv) fiber-optics communications and presents these different types of communication systems in a unified fashion for better practical use. Fundamental concepts, such as propagation principles, modulation formats, channel coding, diversity principles, MIMO signal processing, multicarrier modulation, equalization, adaptive modulation and coding, detection principles, and software defined transmission are first described and then followed up with a detailed look at each particular system. The book is self-contained and structured to provide straightforward guidance to readers looking to capture fundamentals and gain theoretical and practical knowledge about wireless communications, optical communications, and fiber-optics communications, all which can be readily applied in studies, research, and practical applications. The textbook is intended for an upper undergraduate or graduate level course in optical communication. It features problems, an appendix with all background material needed, and homework. ",,https://1lib.in/dl/3420564/b7818e,"PDF, 24.72 MB",0.0,USD,,,Goodreads / Z-Library,PDF,Electrical,"[""Introduction"", ""Core Theory"", ""System Design"", ""Methods & Models"", ""Future Trends""]",Curated (Static)
Introduction to Compiler Design,Torben Ægidius Mogensen (auth.),Springer International Publishing,2017,273,3.9,210,"
The second edition of this textbook has been fully revised and adds material about loop optimisation, function call optimisation and dataflow analysis. It presents techniques for making realistic compilers for simple programming languages, using techniques that are close to those used in ""real"" compilers, albeit in places slightly simplified for presentation purposes. All phases required for translating a high-level language to symbolic machine language are covered, including lexing, parsing, type checking, intermediate-code generation, machine-code generation, register allocation and optimisation, interpretation is covered briefly. Aiming to be neutral with respect to implementation languages, algorithms are presented in pseudo-code rather than in any specific programming language, but suggestions are in many cases given for how these can be realised in different language flavours.Introduction to Compiler Design is intended for an introductory course in compiler design, suitable for both undergraduate and graduate courses depending on which chapters are used. ",,https://1lib.in/dl/3395219/43bd2b,"PDF, 6.77 MB",0.0,USD,,,Goodreads / Z-Library,PDF,Programming,"[""Introduction"", ""Core Theory"", ""System Design"", ""Methods & Models"", ""Future Trends""]",Curated (Static)
"Reinforcement Learning : With Open AI, TensorFlow and Keras Using Python",Abhishek Nandy,Apress,2018,174,3.7,85,"
Master reinforcement learning, a popular area of machine learning, starting with the basics: discover how agents and the environment evolve and then gain a clear picture of how they are inter-related. You’ll then work with theories related to reinforcement learning and see the concepts that build up the reinforcement learning process. Reinforcement Learning discusses algorithm implementations important for reinforcement learning, including Markov’s Decision process and Semi Markov Decision process. The next section shows you how to get started with Open AI before looking at Open AI Gym. You’ll then learn about Swarm Intelligence with Python in terms of reinforcement learning. The last part of the book starts with the TensorFlow environment and gives an outline of how reinforcement learning can be applied to TensorFlow. There’s also coverage of Keras, a framework that can be used with reinforcement learning. Finally, you'll delve into Google’s Deep Mind and see scenarios where reinforcement learning can be used. What You'll Learn Absorb the core concepts of the reinforcement learning processUse advanced topics of deep learning and AIWork with Open AI Gym, Open AI, and Python Harness reinforcement learning with TensorFlow and Keras using PythonWho This Book Is ForData scientists, machine learning and deep learning professionals, developers who want to adapt and learn reinforcement learning. ",,https://1lib.in/dl/3420300/796041,"PDF, 11.01 MB",0.0,USD,,,Goodreads / Z-Library,PDF,AI/ML,"[""Introduction"", ""Core Theory"", ""System Design"", ""Methods & Models"", ""Future Trends""]",Curated (Static)
Software Engineering at Google,Hyrum Wright,O'Reilly Media,2020,0,4.3,2840,"
How do you manage a living codebase that evolves and responds to changing requirements and demands over the length of its life? Based on their experience at Google, software engineers Titus Winters and Hyrum K. Wright, along with technical writer Tom Manshreck, present a candid and insightful look at how some of the world’s leading practitioners construct and maintain software.
At Google, software engineering represents roughly 80-90% of the work, while only 10-20% of the time involves original programming. Most teaching on this subject concentrates on programming, but little on software engineering. By emphasizing three fundamental principles that software organizations should keep in mind when designing, architecting, and writing code, this book explains:
  * Fundamental differences between software engineering and programming
  * The software engineering lifecycle from code development to testing to deprecation
  * How to effectively manage your codebase and efficiently respond to change
  * Why culture is important, and how processes, practices, and tools come into play
  * Tradeoffs: how an organization makes optimal software decisions by keeping time and scale in mind
** ",,https://1lib.in/dl/5345121/674619,"PDF, 7.45 MB",0.0,USD,,,Goodreads / Z-Library,PDF,Software Eng,"[""Introduction"", ""Core Theory"", ""System Design"", ""Methods & Models"", ""Future Trends""]",Curated (Static)
(ISC)2 CISSP Certified Information Systems Security Professional Official Study Guide,Mike Chapple,Sybex,2018,1104,4.2,1850,,,https://1lib.in/dl/5066197/bbf87e,"EPUB, 5.16 MB",0.0,USD,,,Goodreads / Z-Library,EPUB,Security,"[""Introduction"", ""Core Theory"", ""System Design"", ""Methods & Models"", ""Future Trends""]",Curated (Static)
(ISC)² CISSP certified information systems security professional: official study guide,Chapple,John Wiley & Sons,2018,1050,4.2,1850,"
                    CISSP (ISC)2 Certified Information Systems Security Professional Official Study Guide, 8th Edition has been completely updated for the latest 2018 CISSP Body of Knowledge. This bestselling Sybex study guide covers 100% of all exam objectives. You'll prepare for the exam smarter and faster with Sybex thanks to expert content, real-world examples, advice on passing each section of the exam, access to the Sybex online interactive learning environment, and much more. Reinforce what you've learned with key topic exam essentials and chapter review questions -- Provided by the publisher.  Read more...  Abstract:            CISSP (ISC)2 Certified Information Systems Security Professional Official Study Guide, 8th Edition has been completely updated for the latest 2018 CISSP Body of Knowledge. This bestselling Sybex study guide covers 100% of all exam objectives. You'll prepare for the exam smarter and faster with Sybex thanks to expert content, real-world examples, advice on passing each section of the exam, access to the Sybex online interactive learning environment, and much more. Reinforce what you've learned with key topic exam essentials and chapter review questions -- Provided by the publisher                ",,https://1lib.in/dl/4975926/5519eb,"PDF, 19.59 MB",0.0,USD,,,Goodreads / Z-Library,PDF,Security,"[""Introduction"", ""Core Theory"", ""System Design"", ""Methods & Models"", ""Future Trends""]",Curated (Static)
(ISC)² CISSP: certified information systems security professional: official practice tests,Chapple,Sybex,2018,441,4.1,720,,,https://1lib.in/dl/4975924/6371a3,"PDF, 13.68 MB",0.0,USD,,,Goodreads / Z-Library,PDF,Security,"[""Introduction"", ""Core Theory"", ""System Design"", ""Methods & Models"", ""Future Trends""]",Curated (Static)
"1,000 Music Graphics: A compilation of packaging, posters, and other sound solutions",Stoltz Design,Rockport Publishers,2008,320,3.7,429,"
                    This book will offer designers a vast collection of inspiring and innovative graphic works from the world of music. The main emphasis will be on music graphics including album/CD covers and inside spreads, packaging, posters, and other sales materials from the past decade.  Music makes the world go round, and great album designs generate sales for the record companies that back the artists. By showing diverse album graphics from the last decade, designers get a glimpse into what makes or breaks album sales and just how risky the content can be before it goes too far. Many designers hope to break into the music business by way of design, and this collection will offer insight and inspiration for those venturing in. This book will be a compendium of all types of graphically appealing album art, covering all kinds of music and music developers.                ",,https://1lib.in/dl/2282825/6941f1,"PDF, 132.07 MB",0.0,USD,,,Goodreads / Z-Library,PDF,Mechanical,"[""Introduction"", ""Core Theory"", ""System Design"", ""Methods & Models"", ""Future Trends""]",Curated (Static)
"100 Excel Simulations : Using Excel to Model Risk, Investments, Genetics, Growth, Gambling and Monte Carlo Analysis.",Gerard Verschuuren,Holy Macro! Books,2017,227,3.9,102,"
                    Covering a variety of Excel simulations, from gambling to genetics, this introduction is for people interested in modeling future events, without the cost of an expensive textbook. The simulations covered offer a fun alternative to the usual Excel topics and include situations such as roulette, password cracking, sex determination, population growth, and traffic patterns, among many others.                ",,https://1lib.in/dl/5278478/87f32b,"PDF, 11.14 MB",0.0,USD,,,Goodreads / Z-Library,PDF,General Engineering,"[""Introduction"", ""Core Theory"", ""System Design"", ""Methods & Models"", ""Future Trends""]",Curated (Static)
"100 Excel VBA Simulations: Using Excel VBA to Model Risk, Investments, Genetics. Growth, Gambling, and Monte Carlo Analysis",Dr. Gerard M. Verschuuren,CreateSpace Independent Publishing Platform,2016,230,3.6,329,"
                    Covering a variety of Excel simulations by using Visual Basic (VBA), from gambling to genetics, this introduction is for people interested in modeling future events, without the cost of an expensive textbook. The simulations covered offer a fun alternative to the usual Excel topics and include situations such as roulette, password cracking, sex determination, population growth, and traffic patterns, among many others.                ",,https://1lib.in/dl/3427649/eace2f,"PDF, 12.56 MB",0.0,USD,,,Goodreads / Z-Library,PDF,General Engineering,"[""Introduction"", ""Core Theory"", ""System Design"", ""Methods & Models"", ""Future Trends""]",Curated (Static)
